birth_cohort,legal_status,latest_us_occupation,education,labor_exp_age45,first_migration_age,total_trips,accumulated_us_experience,mean_proportion_low_income
31.0,1.0,1.0,0.0,31.0,46.0,2.0,96.0,0.4002801355591667
42.0,0.0,2.0,6.0,33.0,36.0,1.0,24.0,0.1193470539611134
64.0,1.0,0.0,8.0,30.916666666666668,43.0,2.0,11.0,0.0965366473426955
32.0,1.0,2.0,17.0,31.0,55.0,2.0,2.0,0.2656433174291274
55.0,0.0,2.0,9.0,31.0,19.0,3.0,60.0,0.0965366473426955
39.0,0.0,1.0,6.0,34.0,25.0,1.0,480.0,0.0887631280098776
46.0,1.0,1.0,9.0,31.5,19.0,2.0,276.0,0.3605477354718323
32.0,0.0,2.0,0.0,38.0,28.0,1.0,12.0,0.3282718332272439
39.0,1.0,0.0,2.0,33.583333333333336,40.0,1.0,7.0,0.1896341666860463
48.0,0.0,1.0,3.0,33.5,39.0,1.0,18.0,0.1881128205329646
26.0,1.0,1.0,0.0,26.5,29.0,3.0,18.0,0.1979049791452423
60.0,0.0,2.0,9.0,29.0,17.0,2.0,24.0,0.2224250167530135
56.0,0.0,1.0,2.0,32.833333333333336,13.0,2.0,466.0,0.1136808120728266
46.0,1.0,2.0,6.0,33.0,23.0,1.0,312.0,0.3605477354718323
17.0,1.0,0.0,0.0,38.25,20.0,2.0,3.0,0.466597565192262
24.0,1.0,0.0,2.0,38.0,17.0,2.0,690.0,0.3403960457849617
21.0,0.0,0.0,3.0,34.5,25.0,2.0,6.0,0.503388823580198
16.0,0.0,1.0,1.0,31.58333333333333,17.0,4.0,14.0,0.3282718332272439
44.0,1.0,0.0,6.0,26.0,24.0,2.0,108.0,0.233556588533269
20.0,1.0,0.0,3.0,29.33333333333333,24.0,3.0,16.0,0.3403960457849617
41.0,0.0,0.0,6.0,32.5,33.0,1.0,6.0,0.1568111765647907
57.0,0.0,1.0,5.0,33.0,23.0,2.0,72.0,0.0794116459041523
34.0,1.0,0.0,6.0,29.0,19.0,3.0,12.0,0.3793396748602627
54.0,0.0,1.0,9.0,36.0,20.0,1.0,48.0,0.2805868308259445
29.0,0.0,0.0,3.0,33.0,42.0,1.0,288.0,0.4002801355591667
51.0,1.0,1.0,8.0,29.0,32.0,1.0,24.0,0.3660537323416527
39.0,0.0,0.0,3.0,34.25,17.0,3.0,15.0,0.3403960457849617
31.0,0.0,0.0,1.0,37.583333333333336,27.0,4.0,55.0,0.3282718332272439
48.0,1.0,2.0,6.0,35.0,21.0,9.0,204.0,0.253412641520752
47.0,0.0,2.0,4.0,34.0,42.0,2.0,36.0,0.2659429044706354
35.0,0.0,0.0,6.0,33.0,28.0,1.0,12.0,0.366797267891916
28.0,1.0,1.0,3.0,30.0,29.0,2.0,396.0,0.3282718332272439
56.0,0.0,1.0,9.0,30.0,27.0,4.0,96.0,0.0782559075090117
46.0,1.0,2.0,6.0,29.0,17.0,1.0,456.0,0.2805868308259445
23.0,0.0,2.0,0.0,36.833333333333336,21.0,4.0,118.0,0.336834574023331
50.0,0.0,0.0,0.0,38.0,37.0,2.0,36.0,0.1568111765647907
42.0,1.0,1.0,9.0,27.5,46.0,1.0,48.0,0.5427403069541675
18.0,1.0,0.0,0.0,35.0,58.0,1.0,7.0,0.2121177289750974
45.0,0.0,0.0,2.0,25.58333333333333,40.0,2.0,7.0,0.3126117748540345
23.0,0.0,0.0,2.0,36.5,24.0,4.0,30.0,0.3061561957591827
34.0,0.0,2.0,3.0,35.416666666666664,15.0,1.0,17.0,0.075280140305998
45.0,0.0,1.0,6.0,28.0,46.0,1.0,60.0,0.1669478592228174
44.0,0.0,0.0,2.0,33.5,18.0,2.0,18.0,0.2550178354244314
37.0,1.0,1.0,4.0,34.0,20.0,1.0,492.0,0.1931846712098272
51.0,1.0,1.0,12.0,31.0,29.0,1.0,36.0,0.2224250167530135
22.0,0.0,2.0,2.0,35.0,33.0,4.0,36.0,0.2721280489036954
55.0,0.0,2.0,3.0,36.5,20.0,1.0,18.0,0.0462673582305475
28.0,1.0,0.0,0.0,30.0,18.0,4.0,540.0,0.2805868308259445
30.0,0.0,1.0,0.0,28.666666666666668,37.0,6.0,120.0,0.5631442933612603
10.0,1.0,2.0,0.0,30.0,30.0,9.0,91.0,0.2550178354244314
40.0,1.0,1.0,2.0,36.333333333333336,36.0,3.0,24.0,0.1523291898494421
14.0,1.0,0.0,2.0,33.0,42.0,3.0,48.0,0.1387416105495991
51.0,1.0,1.0,9.0,32.0,14.0,7.0,324.0,0.366797267891916
39.0,0.0,1.0,3.0,34.0,56.0,1.0,12.0,0.253412641520752
50.0,0.0,1.0,6.0,30.0,16.0,8.0,108.0,0.2805868308259445
17.0,0.0,0.0,2.0,34.0,20.0,2.0,24.0,0.233556588533269
50.0,1.0,2.0,6.0,31.0,18.0,5.0,132.0,0.3261169775912217
46.0,0.0,2.0,3.0,34.0,50.0,1.0,36.0,0.1812808391388095
29.0,1.0,2.0,3.0,35.25,25.0,3.0,3.0,0.3605477354718323
25.0,0.0,0.0,0.0,21.0,25.0,1.0,60.0,0.2230046374068595
44.0,0.0,1.0,9.0,32.0,30.0,1.0,12.0,0.2224250167530135
57.0,0.0,1.0,3.0,34.0,24.0,1.0,24.0,0.0424752177964042
32.0,0.0,2.0,6.0,38.0,29.0,1.0,12.0,0.466597565192262
35.0,0.0,2.0,0.0,34.0,24.0,1.0,24.0,0.1154865504287029
24.0,1.0,2.0,3.0,30.58333333333333,16.0,13.0,121.0,0.2460560277702422
28.0,0.0,0.0,6.0,33.0,17.0,2.0,288.0,0.2460560277702422
61.0,0.0,1.0,6.0,28.0,18.0,1.0,348.0,0.0424752177964042
17.0,0.0,1.0,3.0,25.5,20.0,1.0,6.0,0.5624172290213145
46.0,1.0,1.0,9.0,29.5,43.0,2.0,30.0,0.256899995432371
42.0,1.0,0.0,2.0,38.0,23.0,4.0,240.0,0.256899995432371
27.0,1.0,0.0,0.0,31.0,23.0,1.0,60.0,0.0887631280098776
63.0,1.0,1.0,9.0,25.5,21.0,2.0,66.0,0.1523291898494421
13.0,1.0,2.0,5.0,34.0,25.0,1.0,12.0,0.5427403069541675
39.0,0.0,0.0,4.0,34.0,35.0,1.0,24.0,0.0965366473426955
26.0,1.0,0.0,3.0,32.0,25.0,2.0,36.0,0.2805868308259445
42.0,0.0,0.0,3.0,29.25,25.0,1.0,3.0,0.2261122087013544
54.0,0.0,1.0,6.0,32.0,20.0,2.0,384.0,0.0424752177964042
45.0,0.0,2.0,2.0,34.0,27.0,1.0,264.0,0.5321297041691028
48.0,1.0,1.0,6.0,27.0,19.0,15.0,264.0,0.366797267891916
29.0,0.0,0.0,4.0,33.75,23.0,2.0,21.0,0.0619939786519362
33.0,0.0,2.0,3.0,29.75,21.0,4.0,22.0,0.3228717411226657
45.0,1.0,1.0,6.0,33.0,28.0,2.0,168.0,0.3036757590987357
54.0,1.0,0.0,6.0,28.5,17.0,21.0,204.0,0.253412641520752
25.0,1.0,0.0,3.0,28.5,27.0,2.0,6.0,0.4261479022907242
17.0,1.0,0.0,9.0,28.0,18.0,1.0,120.0,0.3979863843292437
56.0,0.0,2.0,3.0,37.0,18.0,3.0,288.0,0.0794116459041523
46.0,0.0,1.0,3.0,30.0,23.0,3.0,60.0,0.0530060722456658
47.0,0.0,1.0,2.0,34.5,23.0,1.0,288.0,0.466597565192262
17.0,0.0,0.0,0.0,38.5,24.0,1.0,36.0,0.466597565192262
14.0,1.0,0.0,0.0,36.333333333333336,29.0,2.0,4.0,0.3605477354718323
8.0,1.0,0.0,2.0,37.0,34.0,2.0,24.0,0.3126117748540345
40.0,0.0,1.0,6.0,28.0,39.0,2.0,117.0,0.1979049791452423
35.0,0.0,0.0,0.0,34.0,27.0,3.0,168.0,0.1229021306305824
17.0,1.0,0.0,0.0,29.5,19.0,7.0,83.0,0.4002801355591667
47.0,1.0,2.0,6.0,33.0,19.0,2.0,348.0,0.3403960457849617
29.0,0.0,0.0,0.0,34.0,50.0,3.0,96.0,0.2121177289750974
42.0,0.0,1.0,6.0,33.0,22.0,1.0,108.0,0.1568111765647907
56.0,0.0,1.0,0.0,33.0,23.0,1.0,144.0,0.0424752177964042
51.0,0.0,0.0,17.0,33.0,19.0,1.0,12.0,0.2493494146303527
22.0,1.0,0.0,4.0,38.0,29.0,1.0,504.0,0.3979863843292437
35.0,0.0,2.0,6.0,34.0,25.0,2.0,36.0,0.1229021306305824
56.0,0.0,1.0,5.0,34.0,23.0,1.0,24.0,0.1229021306305824
47.0,0.0,1.0,18.0,34.0,31.0,1.0,264.0,0.1154865504287029
33.0,0.0,0.0,4.0,33.333333333333336,18.0,1.0,4.0,0.1931846712098272
57.0,0.0,0.0,6.0,33.0,37.0,1.0,168.0,0.1136808120728266
45.0,0.0,1.0,2.0,38.0,21.0,2.0,408.0,0.1098237930262608
29.0,0.0,2.0,2.0,32.5,20.0,4.0,36.0,0.3403960457849617
60.0,0.0,2.0,9.0,34.0,15.0,1.0,60.0,0.2805868308259445
61.0,0.0,0.0,9.0,31.0,24.0,2.0,72.0,0.1568111765647907
39.0,0.0,1.0,5.0,35.5,24.0,2.0,42.0,0.2805868308259445
35.0,0.0,0.0,6.0,32.166666666666664,32.0,5.0,38.0,0.2230046374068595
21.0,0.0,0.0,0.0,33.0,20.0,2.0,24.0,0.2805868308259445
42.0,0.0,0.0,3.0,35.0,22.0,2.0,96.0,0.366797267891916
57.0,0.0,1.0,12.0,27.0,33.0,1.0,36.0,0.1523291898494421
43.0,0.0,1.0,1.0,30.75,20.0,3.0,29.0,0.253412641520752
44.0,0.0,1.0,6.0,23.0,51.0,1.0,48.0,0.1568111765647907
21.0,0.0,0.0,0.0,34.25,45.0,1.0,3.0,0.2121177289750974
40.0,1.0,2.0,4.0,23.666666666666668,67.0,4.0,9.0,0.1860329731840667
57.0,0.0,0.0,6.0,34.0,19.0,1.0,24.0,0.0965366473426955
36.0,0.0,0.0,6.0,32.5,24.0,2.0,42.0,0.256899995432371
44.0,0.0,1.0,6.0,34.0,25.0,1.0,156.0,0.2659429044706354
28.0,1.0,0.0,1.0,32.0,34.0,9.0,336.0,0.336834574023331
45.0,1.0,0.0,0.0,34.0,30.0,11.0,174.0,0.1136808120728266
24.0,0.0,1.0,3.0,30.58333333333333,19.0,7.0,19.0,0.4261479022907242
58.0,0.0,2.0,12.0,28.0,20.0,1.0,36.0,0.1154865504287029
16.0,1.0,2.0,3.0,31.0,26.0,9.0,102.0,0.3126117748540345
41.0,1.0,2.0,12.0,36.0,40.0,1.0,120.0,0.503388823580198
52.0,0.0,2.0,6.0,28.416666666666668,20.0,9.0,150.0,0.2893970469565174
21.0,1.0,0.0,6.0,30.25,17.0,2.0,63.0,0.2550178354244314
43.0,0.0,0.0,3.0,36.0,41.0,1.0,36.0,0.1881128205329646
46.0,0.0,1.0,6.0,36.0,43.0,1.0,72.0,0.3605477354718323
26.0,1.0,0.0,6.0,27.83333333333333,21.0,5.0,10.0,0.4261479022907242
52.0,1.0,0.0,9.0,34.0,17.0,1.0,348.0,0.1875023905350765
58.0,0.0,1.0,1.0,33.0,19.0,1.0,240.0,0.0424752177964042
48.0,0.0,1.0,3.0,45.25,26.0,2.0,15.0,0.3605477354718323
39.0,0.0,1.0,2.0,34.0,48.0,6.0,54.0,0.1931846712098272
27.0,0.0,2.0,17.0,21.0,26.0,10.0,120.0,0.4644109283325187
36.0,1.0,2.0,9.0,28.0,24.0,1.0,360.0,0.5624172290213145
47.0,0.0,1.0,0.0,31.0,19.0,1.0,36.0,0.2493494146303527
35.0,0.0,0.0,6.0,33.0,49.0,1.0,12.0,0.366797267891916
38.0,1.0,0.0,3.0,27.0,22.0,32.0,316.0,0.336834574023331
56.0,0.0,2.0,5.0,34.75,16.0,2.0,45.0,0.1523291898494421
13.0,1.0,0.0,0.0,34.0,24.0,2.0,84.0,0.3605477354718323
50.0,0.0,1.0,16.0,31.0,29.0,1.0,12.0,0.1154865504287029
52.0,0.0,2.0,6.0,33.583333333333336,45.0,1.0,7.0,0.1098237930262608
44.0,1.0,1.0,7.0,32.0,32.0,1.0,72.0,0.503388823580198
47.0,1.0,1.0,3.0,27.0,19.0,2.0,444.0,0.2805868308259445
63.0,0.0,1.0,3.0,35.0,28.0,1.0,96.0,0.0794116459041523
37.0,1.0,2.0,3.0,31.0,31.0,5.0,156.0,0.146549422036687
54.0,1.0,2.0,17.0,34.0,24.0,1.0,12.0,0.1154865504287029
53.0,0.0,2.0,6.0,26.0,20.0,2.0,60.0,0.3403960457849617
37.0,1.0,1.0,2.0,38.333333333333336,25.0,10.0,136.0,0.1789977792291187
45.0,1.0,2.0,17.0,27.0,19.0,1.0,492.0,0.2493494146303527
34.0,0.0,1.0,3.0,33.5,21.0,3.0,66.0,0.336834574023331
56.0,0.0,1.0,9.0,22.0,25.0,10.0,116.0,0.3040856578310011
46.0,0.0,1.0,6.0,38.0,30.0,1.0,12.0,0.1881128205329646
49.0,0.0,1.0,6.0,33.0,14.0,1.0,60.0,0.2805868308259445
26.0,1.0,0.0,2.0,29.0,17.0,7.0,288.0,0.1875023905350765
24.0,0.0,0.0,0.0,38.0,43.0,1.0,24.0,0.1789977792291187
25.0,1.0,0.0,6.0,31.5,25.0,2.0,18.0,0.4377429198847672
65.0,0.0,2.0,3.0,34.0,14.0,4.0,108.0,0.0794116459041523
29.0,1.0,0.0,6.0,33.5,22.0,2.0,42.0,0.3126117748540345
63.0,0.0,0.0,2.0,36.75,26.0,3.0,45.0,0.1523291898494421
50.0,0.0,1.0,6.0,32.0,15.0,1.0,204.0,0.3261169775912217
37.0,0.0,1.0,1.0,35.0,28.0,2.0,84.0,0.1979049791452423
34.0,0.0,2.0,6.0,31.0,35.0,1.0,24.0,0.1154865504287029
48.0,0.0,2.0,4.0,31.0,61.0,1.0,8.0,0.0530060722456658
22.0,0.0,2.0,2.0,38.0,19.0,1.0,12.0,0.0530060722456658
48.0,1.0,0.0,6.0,25.0,15.0,15.0,276.0,0.1136808120728266
28.0,1.0,1.0,6.0,34.0,62.0,1.0,12.0,0.4644109283325187
31.0,0.0,0.0,6.0,34.0,20.0,3.0,15.0,0.511485026688109
53.0,0.0,1.0,8.0,28.0,28.0,1.0,120.0,0.2204188863142136
54.0,0.0,1.0,9.0,30.666666666666668,27.0,3.0,56.0,0.1523291898494421
30.0,1.0,0.0,3.0,37.083333333333336,22.0,1.0,1.0,0.256899995432371
19.0,0.0,0.0,2.0,32.0,25.0,1.0,12.0,0.2230046374068595
33.0,0.0,1.0,4.0,29.0,42.0,1.0,240.0,0.1627564249131586
44.0,0.0,1.0,8.0,38.0,30.0,3.0,84.0,0.246633912460184
61.0,0.0,1.0,9.0,31.0,16.0,1.0,192.0,0.0782559075090117
48.0,0.0,1.0,0.0,34.0,21.0,2.0,144.0,0.0424752177964042
49.0,0.0,2.0,11.0,31.0,41.0,1.0,24.0,0.4353976575177852
39.0,1.0,1.0,4.0,30.0,20.0,2.0,384.0,0.3036757590987357
53.0,0.0,1.0,6.0,34.0,20.0,1.0,36.0,0.0965366473426955
40.0,0.0,2.0,3.0,34.0,20.0,1.0,72.0,0.2230046374068595
22.0,1.0,0.0,1.0,36.083333333333336,20.0,3.0,7.0,0.503388823580198
8.0,1.0,0.0,6.0,32.5,37.0,1.0,6.0,0.1713179214459541
56.0,0.0,1.0,9.0,30.0,16.0,1.0,240.0,0.1589568182862857
36.0,0.0,2.0,9.0,30.0,19.0,9.0,108.0,0.3040856578310011
31.0,0.0,0.0,6.0,33.5,18.0,1.0,6.0,0.1979049791452423
26.0,1.0,2.0,6.0,27.0,21.0,1.0,576.0,0.3605477354718323
39.0,0.0,1.0,4.0,34.0,36.0,4.0,48.0,0.0965366473426955
41.0,0.0,0.0,0.0,33.0,22.0,2.0,108.0,0.1136808120728266
47.0,0.0,1.0,1.0,39.0,20.0,1.0,48.0,0.0462673582305475
47.0,0.0,1.0,9.0,30.0,49.0,1.0,36.0,0.1568111765647907
29.0,1.0,2.0,4.0,38.0,31.0,3.0,480.0,0.3403960457849617
33.0,0.0,0.0,0.0,39.083333333333336,40.0,1.0,17.0,0.5321297041691028
41.0,0.0,1.0,9.0,32.0,17.0,2.0,288.0,0.3282718332272439
39.0,0.0,0.0,6.0,25.0,31.0,1.0,240.0,0.5624172290213145
61.0,0.0,0.0,6.0,32.0,35.0,1.0,36.0,0.2493494146303527
34.0,0.0,1.0,0.0,29.08333333333333,36.0,1.0,4.0,0.3228717411226657
49.0,1.0,1.0,3.0,30.0,32.0,1.0,36.0,0.2224250167530135
49.0,1.0,0.0,1.0,27.0,29.0,6.0,111.0,0.1875023905350765
38.0,0.0,1.0,9.0,30.0,32.0,1.0,36.0,0.1979049791452423
57.0,1.0,1.0,12.0,28.5,21.0,3.0,96.0,0.2362869324676007
52.0,0.0,1.0,2.0,31.0,19.0,2.0,156.0,0.0462673582305475
34.0,1.0,1.0,10.0,25.0,25.0,2.0,24.0,0.4377429198847672
32.0,0.0,2.0,3.0,32.5,29.0,2.0,84.0,0.2659429044706354
48.0,0.0,2.0,12.0,33.0,48.0,1.0,48.0,0.1627564249131586
26.0,0.0,1.0,4.0,34.0,18.0,1.0,36.0,0.146549422036687
23.0,0.0,2.0,4.0,31.0,40.0,1.0,48.0,0.2659429044706354
41.0,0.0,0.0,0.0,37.5,26.0,2.0,18.0,0.1789977792291187
62.0,0.0,1.0,9.0,31.0,18.0,1.0,132.0,0.1098237930262608
64.0,0.0,2.0,6.0,33.583333333333336,17.0,7.0,127.0,0.0794116459041523
48.0,0.0,0.0,12.0,32.75,25.0,2.0,16.0,0.4377429198847672
63.0,0.0,1.0,3.0,37.0,18.0,2.0,144.0,0.0965366473426955
20.0,1.0,0.0,0.0,29.5,18.0,1.0,6.0,0.5427403069541675
51.0,1.0,1.0,6.0,31.0,30.0,1.0,24.0,0.2493494146303527
39.0,1.0,1.0,9.0,29.0,20.0,1.0,12.0,0.4377429198847672
60.0,0.0,2.0,4.0,37.0,20.0,2.0,24.0,0.1589568182862857
38.0,0.0,0.0,1.0,33.0,32.0,3.0,36.0,0.366797267891916
46.0,1.0,0.0,18.0,26.0,21.0,1.0,12.0,0.511485026688109
31.0,0.0,0.0,0.0,34.0,18.0,1.0,24.0,0.0619939786519362
44.0,0.0,2.0,1.0,32.666666666666664,37.0,1.0,18.0,0.1881128205329646
48.0,0.0,2.0,3.0,30.0,19.0,1.0,36.0,0.2805868308259445
58.0,0.0,1.0,6.0,34.0,30.0,3.0,144.0,0.2111566691999847
46.0,1.0,0.0,5.0,29.0,23.0,9.0,174.0,0.1875023905350765
51.0,0.0,0.0,6.0,33.0,25.0,1.0,288.0,0.366797267891916
26.0,1.0,0.0,3.0,32.25,20.0,1.0,3.0,0.2460560277702422
35.0,0.0,1.0,0.0,37.0,30.0,2.0,24.0,0.3605477354718323
47.0,0.0,0.0,3.0,33.0,22.0,1.0,12.0,0.253412641520752
62.0,0.0,2.0,3.0,36.0,16.0,3.0,93.0,0.0530060722456658
26.0,1.0,0.0,3.0,32.0,14.0,2.0,672.0,0.2805868308259445
49.0,1.0,1.0,6.0,31.0,20.0,1.0,84.0,0.3261169775912217
35.0,0.0,0.0,6.0,33.666666666666664,16.0,36.0,316.0,0.336834574023331
18.0,0.0,1.0,2.0,31.0,33.0,1.0,264.0,0.503388823580198
41.0,0.0,1.0,5.0,30.5,25.0,1.0,6.0,0.3036757590987357
44.0,0.0,2.0,1.0,32.0,28.0,2.0,24.0,0.2460560277702422
42.0,0.0,1.0,6.0,31.0,27.0,1.0,132.0,0.1789977792291187
51.0,0.0,0.0,9.0,30.0,39.0,1.0,24.0,0.2493494146303527
33.0,1.0,2.0,6.0,32.0,47.0,1.0,144.0,0.1979049791452423
42.0,1.0,2.0,6.0,33.25,18.0,1.0,3.0,0.5624172290213145
51.0,0.0,1.0,2.0,33.0,20.0,2.0,36.0,0.2805868308259445
62.0,0.0,2.0,4.0,28.0,29.0,1.0,108.0,0.0424752177964042
56.0,0.0,1.0,6.0,28.0,30.0,1.0,252.0,0.3261169775912217
37.0,0.0,1.0,4.0,35.0,28.0,1.0,24.0,0.2805868308259445
43.0,0.0,1.0,9.0,34.0,28.0,1.0,12.0,0.0887631280098776
25.0,1.0,0.0,6.0,32.0,17.0,3.0,72.0,0.5631442933612603
54.0,0.0,1.0,0.0,35.0,24.0,2.0,336.0,0.1470002761244478
49.0,0.0,1.0,3.0,34.0,16.0,1.0,516.0,0.0424752177964042
46.0,0.0,1.0,3.0,25.416666666666668,45.0,1.0,60.0,0.4353976575177852
35.0,1.0,2.0,2.0,36.0,26.0,1.0,432.0,0.2460560277702422
23.0,0.0,1.0,16.0,40.0,26.0,1.0,372.0,0.503388823580198
38.0,0.0,2.0,0.0,38.0,16.0,1.0,24.0,0.3605477354718323
32.0,0.0,0.0,0.0,32.0,21.0,3.0,72.0,0.366797267891916
52.0,0.0,0.0,6.0,41.0,17.0,3.0,36.0,0.1589568182862857
59.0,1.0,1.0,6.0,26.0,36.0,1.0,108.0,0.2493494146303527
31.0,1.0,2.0,6.0,31.0,27.0,2.0,36.0,0.3282718332272439
43.0,0.0,0.0,6.0,35.0,29.0,1.0,48.0,0.4261479022907242
20.0,0.0,0.0,2.0,33.0,22.0,1.0,276.0,0.2460560277702422
