Classifier,y_true,y_pred
35-NN,0,0
35-NN,0,0
35-NN,0,0
35-NN,0,1
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,0,1
35-NN,0,0
35-NN,0,0
35-NN,0,1
35-NN,1,1
35-NN,0,0
35-NN,1,0
35-NN,1,0
35-NN,1,0
35-NN,0,0
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,1,0
35-NN,1,1
35-NN,0,0
35-NN,1,1
35-NN,1,0
35-NN,1,0
35-NN,1,0
35-NN,1,1
35-NN,0,0
35-NN,1,0
35-NN,1,0
35-NN,0,0
35-NN,1,1
35-NN,1,0
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,1,0
35-NN,0,0
35-NN,0,0
35-NN,0,0
35-NN,1,1
35-NN,0,0
35-NN,0,1
35-NN,1,1
35-NN,0,0
35-NN,0,0
35-NN,0,1
35-NN,0,0
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,1,0
35-NN,1,0
35-NN,1,0
35-NN,1,0
35-NN,1,1
35-NN,0,0
35-NN,0,0
35-NN,0,1
35-NN,1,1
35-NN,0,1
35-NN,1,0
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,0,0
35-NN,0,0
35-NN,1,1
35-NN,1,1
35-NN,1,0
35-NN,1,1
35-NN,1,0
35-NN,0,1
35-NN,0,0
35-NN,0,1
35-NN,1,0
35-NN,0,1
35-NN,1,0
35-NN,0,0
35-NN,1,1
35-NN,1,1
35-NN,0,0
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,0,1
35-NN,0,1
35-NN,1,0
35-NN,1,1
35-NN,0,0
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,1,0
35-NN,1,0
35-NN,1,1
35-NN,0,0
35-NN,1,1
35-NN,0,0
35-NN,1,0
35-NN,1,1
35-NN,1,1
35-NN,0,0
35-NN,1,0
35-NN,1,1
35-NN,1,0
35-NN,0,1
35-NN,0,0
35-NN,1,0
35-NN,1,0
35-NN,0,1
35-NN,1,0
35-NN,0,0
35-NN,1,1
35-NN,1,1
35-NN,0,0
35-NN,1,0
35-NN,0,1
35-NN,0,0
35-NN,1,0
35-NN,1,0
35-NN,1,1
35-NN,0,0
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,0,0
35-NN,0,1
35-NN,0,0
35-NN,0,1
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,1,1
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,0,1
35-NN,0,1
35-NN,0,0
35-NN,0,0
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,1,1
35-NN,1,0
35-NN,0,0
35-NN,1,1
35-NN,0,0
35-NN,1,0
35-NN,1,0
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,1,0
35-NN,0,0
35-NN,1,0
Naïve Bayes,0,0
